date,prompt_version,episode_index,step_index,topology_name,load_regime,qot_pressure_regime,services_processed,winner_heuristic,winner_proposed_by,winner_raw_action,winner_decoded_path_nodes,winner_modulation_name,winner_initial_slot,winner_slot_end_exclusive,winner_path_hops,winner_path_length_km,judge_called,winner_confidence,decisive_signals_summary,agrees_with_baseline,fallback_reason,judge_error_message,post_status,post_accepted,post_reward,episode_service_blocking_rate,episode_bit_rate_blocking_rate,episode_disrupted_services_rate
21-03,v2_blocking_risk_compact_payload,0,0,Nobel Europe backbone,light,relaxed,0,load_balancing,load_balancing,318,Budapest->Prague,16QAM,318,320,1,464.975,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),False,none,,accepted,True,0.9822771352001777,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,1,Nobel Europe backbone,light,relaxed,1,load_balancing,load_balancing,319,Frankfurt->Munich,16QAM,319,320,1,309.307,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,1.0510445953145002,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,2,Nobel Europe backbone,light,relaxed,2,random,random,2457,Glasgow->Amsterdam->Brussels->Paris->Strasbourg->Zurich,QPSK,217,218,5,1660.936,True,0.0,,True,"judge_error:RuntimeError:LLM judge failed after 3 attempts: list indices must be integers or slices, not str","LLM judge failed after 3 attempts: list indices must be integers or slices, not str",accepted,True,0.9308611428939426,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,3,Nobel Europe backbone,light,relaxed,3,first_fit,first_fit,320,Barcelona->Lyon->Paris->London->Dublin->Glasgow,QPSK,0,16,5,1993.5099999999998,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9465179847801726,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,4,Nobel Europe backbone,light,relaxed,4,load_balancing,load_balancing,1596,Barcelona->Lyon->Zurich->Milan->Munich->Vienna->Zagreb->Belgrade,QPSK,316,320,7,2485.491,True,0.85,qot_safety:load_balancing(high) | fragmentation:random(medium),True,none,,accepted,True,1.0248658530848722,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,5,Nobel Europe backbone,light,relaxed,5,first_fit,first_fit,0,Prague->Vienna->Munich->Milan->Zurich,8QAM,0,2,4,1197.107,True,0.6,qot_safety:load_balancing(high) | fragmentation:random(medium),True,none,,accepted,True,0.9241474868729711,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,6,Nobel Europe backbone,light,relaxed,6,load_balancing,load_balancing,1499,London->Amsterdam->Brussels->Frankfurt->Strasbourg,QPSK,219,235,4,1025.862,True,0.95,qot_safety:load_balancing(high) | fragmentation:first_fit(medium),True,none,,accepted,True,1.0636558555687468,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,7,Nobel Europe backbone,light,relaxed,7,random,random,1611,Oslo->Copenhagen->Berlin->Warsaw->Stockholm,QPSK,11,13,4,2125.7290000000003,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9865041985564555,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,8,Nobel Europe backbone,light,relaxed,8,first_fit,first_fit,320,Belgrade->Budapest->Prague->Berlin->Copenhagen->Oslo,QPSK,0,2,5,1877.925,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),False,none,,accepted,True,0.9901132206122081,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,9,Nobel Europe backbone,light,relaxed,9,first_fit,first_fit,0,Belgrade->Zagreb,16QAM,0,8,1,384.937,True,0.95,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9896135321011146,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,10,Nobel Europe backbone,light,relaxed,10,first_fit,first_fit,337,London->Paris->Bordeaux->Madrid,QPSK,17,33,3,1372.797,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,1.037542653294901,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,11,Nobel Europe backbone,light,relaxed,11,first_fit,first_fit,3,Berlin->Munich->Milan,8QAM,3,6,2,843.735,True,0.85,qot_safety:load_balancing(high) | fragmentation:random(medium),True,none,,accepted,True,1.0219041568972171,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,12,Nobel Europe backbone,light,relaxed,12,first_fit,first_fit|load_balancing,320,Glasgow->Amsterdam->Hamburg->Berlin->Warsaw,QPSK,0,4,4,1813.723,True,0.95,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0149945239226024,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,13,Nobel Europe backbone,light,relaxed,13,random,random,632,Oslo->Stockholm,8QAM,312,314,1,431.15,True,0.85,qot_safety:random(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,1.0246493248222397,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,14,Nobel Europe backbone,light,relaxed,14,load_balancing,load_balancing,1287,Munich->Berlin->Prague->Vienna->Zagreb,QPSK,7,23,4,1307.44,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,1.0562095197166006,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,15,Nobel Europe backbone,light,relaxed,15,random,random,933,Belgrade->Zagreb->Rome->Milan->Zurich,BPSK,293,294,4,1611.7160000000001,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9354175749126201,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,16,Nobel Europe backbone,light,relaxed,16,load_balancing,load_balancing,317,Athens->Rome,8QAM,317,320,1,1049.692,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),False,none,,accepted,True,0.9835379304364325,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,17,Nobel Europe backbone,light,relaxed,17,load_balancing,load_balancing,624,Budapest->Warsaw->Stockholm,QPSK,304,320,2,1351.414,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),False,none,,accepted,True,1.0184567892799774,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,18,Nobel Europe backbone,light,relaxed,18,load_balancing,load_balancing,556,London->Amsterdam->Hamburg->Berlin->Warsaw,QPSK,236,252,4,1467.72,True,0.0,,True,"judge_error:RuntimeError:LLM judge failed after 3 attempts: list indices must be integers or slices, not str","LLM judge failed after 3 attempts: list indices must be integers or slices, not str",accepted,True,1.0379183592895667,0.0,0.0,0.0
21-03,v2_blocking_risk_compact_payload,0,19,Nobel Europe backbone,light,relaxed,19,first_fit,first_fit|load_balancing|random,4800,,,-1,-1,0,0.0,False,0.0,,True,single_candidate,,rejected_by_agent,False,-0.15,0.05,0.10282776349614396,0.0
21-03,v2_blocking_risk_compact_payload,0,20,Nobel Europe backbone,light,tight,20,load_balancing,load_balancing,3203,Oslo->Stockholm->Warsaw->Budapest->Prague,QPSK,3,4,4,2247.5389999999998,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,0.9754228512446086,0.047619047619047616,0.10256410256410256,0.0
21-03,v2_blocking_risk_compact_payload,0,21,Nobel Europe backbone,light,tight,21,load_balancing,load_balancing,317,Prague->Berlin->Copenhagen->Oslo->Stockholm,8QAM,317,320,4,1516.3020000000001,True,0.6,qot_safety:random(high) | fragmentation:load_balancing(high),False,none,,accepted,True,0.896017393656075,0.045454545454545456,0.1,0.0
21-03,v2_blocking_risk_compact_payload,0,22,Nobel Europe backbone,light,tight,22,random,random,1645,Brussels->Paris->London,QPSK,45,61,2,613.688,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,1.0503483524375283,0.043478260869565216,0.09090909090909091,0.0
21-03,v2_blocking_risk_compact_payload,0,23,Nobel Europe backbone,light,tight,23,random,random,2547,Berlin->Hamburg->Frankfurt->Strasbourg->Paris->Bordeaux,QPSK,307,308,5,1699.63,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9725713354550923,0.041666666666666664,0.09070294784580499,0.0
21-03,v2_blocking_risk_compact_payload,0,24,Nobel Europe backbone,light,tight,24,load_balancing,load_balancing,2245,Glasgow->Amsterdam->Brussels->Paris->Strasbourg,QPSK,5,6,4,1519.426,True,0.6,qot_safety:random(high) | fragmentation:first_fit(high),True,none,,accepted,True,0.9725270966688792,0.04,0.09049773755656108,0.0
21-03,v2_blocking_risk_compact_payload,0,25,Nobel Europe backbone,light,tight,25,load_balancing,load_balancing,2459,Dublin->Glasgow->Amsterdam->Hamburg->Berlin->Copenhagen->Oslo->Stockholm,QPSK,219,223,7,2850.83,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,1.0120054761568704,0.038461538461538464,0.08849557522123894,0.0
21-03,v2_blocking_risk_compact_payload,0,26,Nobel Europe backbone,light,tight,26,load_balancing,load_balancing,224,Glasgow->Dublin->London,8QAM,224,227,2,751.575,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,1.032662492990494,0.037037037037037035,0.08658008658008658,0.0
21-03,v2_blocking_risk_compact_payload,0,27,Nobel Europe backbone,light,tight,27,random,random,1459,Dublin->London->Amsterdam->Brussels->Paris,QPSK,179,195,4,1250.718,True,0.0,,True,"judge_error:RuntimeError:LLM judge failed after 3 attempts: list indices must be integers or slices, not str","LLM judge failed after 3 attempts: list indices must be integers or slices, not str",accepted,True,1.0456214501538001,0.03571428571428571,0.0796812749003984,0.0
21-03,v2_blocking_risk_compact_payload,0,28,Nobel Europe backbone,light,guarded,28,first_fit,first_fit|load_balancing,327,Athens->Rome->Milan->Zurich->Strasbourg->Paris->Bordeaux,QPSK,7,11,6,2778.791,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0192507962385813,0.034482758620689655,0.078125,0.0
21-03,v2_blocking_risk_compact_payload,0,29,Nobel Europe backbone,light,guarded,29,random,random,751,Berlin->Prague->Vienna->Zagreb,BPSK,111,112,3,817.2360000000001,True,0.85,qot_safety:random(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9017845163944489,0.03333333333333333,0.07797270955165692,0.0
21-03,v2_blocking_risk_compact_payload,0,30,Nobel Europe backbone,light,guarded,30,load_balancing,load_balancing,224,Copenhagen->Berlin->Munich,8QAM,224,227,2,839.9159999999999,True,0.85,qot_safety:load_balancing(high) | fragmentation:first_fit(medium),True,none,,accepted,True,1.0164580404758454,0.03225806451612903,0.07648183556405354,0.0
21-03,v2_blocking_risk_compact_payload,0,31,Nobel Europe backbone,light,guarded,31,random,random,350,Belgrade->Zagreb->Vienna->Munich->Frankfurt,QPSK,30,34,4,1354.422,True,0.85,qot_safety:random(high) | slot_efficiency:first_fit(medium),True,none,,accepted,True,1.0237341058456029,0.03125,0.075046904315197,0.0
21-03,v2_blocking_risk_compact_payload,0,32,Nobel Europe backbone,light,guarded,32,first_fit,first_fit|load_balancing,329,Rome->Zagreb->Belgrade->Budapest->Warsaw,QPSK,9,13,4,1776.6370000000002,True,0.95,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.019371751944224,0.030303030303030304,0.07366482504604052,0.0
21-03,v2_blocking_risk_compact_payload,0,33,Nobel Europe backbone,light,guarded,33,first_fit,first_fit,344,Budapest->Prague->Berlin->Hamburg->Amsterdam->Brussels->Paris,QPSK,24,28,6,1816.3770000000002,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),False,none,,accepted,True,1.010980091492335,0.029411764705882353,0.07233273056057866,0.0
21-03,v2_blocking_risk_compact_payload,0,34,Nobel Europe backbone,light,guarded,34,load_balancing,load_balancing,624,Athens->Belgrade->Budapest,QPSK,304,320,2,1138.848,True,0.0,,True,"judge_error:RuntimeError:LLM judge failed after 3 attempts: list indices must be integers or slices, not str","LLM judge failed after 3 attempts: list indices must be integers or slices, not str",accepted,True,1.0569172743583717,0.02857142857142857,0.06745362563237774,0.0
21-03,v2_blocking_risk_compact_payload,0,35,Nobel Europe backbone,light,guarded,35,first_fit,first_fit|load_balancing,5,Copenhagen->Oslo->Stockholm,8QAM,5,8,2,903.8969999999999,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,0.995134699344635,0.027777777777777776,0.06633499170812604,0.0
21-03,v2_blocking_risk_compact_payload,0,36,Nobel Europe backbone,light,guarded,36,first_fit,first_fit,355,Belgrade->Zagreb->Vienna->Munich,QPSK,35,51,3,1045.115,True,0.9,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0645345448205867,0.02702702702702703,0.06220839813374806,0.0
21-03,v2_blocking_risk_compact_payload,0,37,Nobel Europe backbone,light,guarded,37,first_fit,first_fit,382,Hamburg->Amsterdam->Brussels->Paris->Bordeaux->Madrid,QPSK,62,78,5,1867.44,True,0.6,qot_safety:load_balancing(high) | fragmentation:first_fit(high),True,none,,accepted,True,0.9687906142572562,0.02631578947368421,0.05856515373352855,0.0
21-03,v2_blocking_risk_compact_payload,0,38,Nobel Europe backbone,light,guarded,38,load_balancing,load_balancing,1308,Belgrade->Zagreb->Rome->Milan->Zurich->Lyon->Barcelona->Madrid,QPSK,28,29,7,2949.42,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),False,none,,accepted,True,0.8412470961610476,0.02564102564102564,0.05847953216374269,0.0
21-03,v2_blocking_risk_compact_payload,0,39,Nobel Europe backbone,light,guarded,39,first_fit,first_fit|load_balancing,0,Amsterdam->Brussels,16QAM,0,1,1,191.418,True,0.6,qot_safety:random(high) | fragmentation:first_fit(high),True,none,,accepted,True,1.0141633828481038,0.025,0.058394160583941604,0.0
21-03,v2_blocking_risk_compact_payload,0,40,Nobel Europe backbone,light,guarded,40,random,random,139,Lyon->Zurich->Milan->Rome,8QAM,139,142,3,1069.1599999999999,True,0.6,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9310127898259091,0.024390243902439025,0.05755395683453238,0.0
21-03,v2_blocking_risk_compact_payload,0,41,Nobel Europe backbone,light,guarded,41,first_fit,first_fit|load_balancing,14,Belgrade->Budapest,16QAM,14,22,1,327.798,True,0.95,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.085497745697697,0.023809523809523808,0.05442176870748299,0.0
21-03,v2_blocking_risk_compact_payload,0,42,Nobel Europe backbone,light,guarded,42,random,random,1799,Barcelona->Lyon->Paris->Strasbourg->Zurich,BPSK,199,200,4,1420.936,True,0.85,qot_safety:random(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.936912093431068,0.023255813953488372,0.05434782608695652,0.0
21-03,v2_blocking_risk_compact_payload,0,43,Nobel Europe backbone,light,guarded,43,first_fit,first_fit,349,Belgrade->Budapest->Prague->Berlin->Hamburg->Amsterdam->London->Dublin,QPSK,29,33,7,2485.3129999999996,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),False,none,,accepted,True,1.0109060327212016,0.022727272727272728,0.05361930294906166,0.0
21-03,v2_blocking_risk_compact_payload,0,44,Nobel Europe backbone,light,guarded,44,load_balancing,load_balancing,3252,Hamburg->Berlin->Prague->Budapest->Belgrade->Zagreb,QPSK,52,56,5,1684.1529999999998,True,0.85,qot_safety:load_balancing(high) | slot_efficiency:first_fit(medium),False,none,,accepted,True,1.0132251063982645,0.022222222222222223,0.05291005291005291,0.0
21-03,v2_blocking_risk_compact_payload,0,45,Nobel Europe backbone,light,guarded,45,load_balancing,load_balancing,1287,Glasgow->Amsterdam->Brussels->Frankfurt->Munich->Vienna,QPSK,7,9,5,1840.794,True,0.85,qot_safety:load_balancing(high) | fragmentation:random(medium),True,none,,accepted,True,0.983308486143748,0.021739130434782608,0.05263157894736842,0.0
21-03,v2_blocking_risk_compact_payload,0,46,Nobel Europe backbone,light,guarded,46,random,random,1891,Madrid->Bordeaux->Paris->Brussels->Frankfurt->Hamburg->Berlin->Prague,BPSK,291,295,7,2472.4090000000006,True,0.6,qot_safety:random(high) | fragmentation:load_balancing(medium),False,none,,accepted,True,0.9789242408874756,0.02127659574468085,0.05235602094240838,0.0
